StationName,State,ABSLMP,ID,Latitude,Longitude,MetadataURL,MonthlyStatsURL
Cape Ferguson,Queensland,TRUE,IDO71051SLD,-19.2774,147.0586,http://www.bom.gov.au/ntc/IDO50000/IDO50000_59260.pdf,http://www.bom.gov.au/ntc/IDO71051/IDO71051SLD.txt
Rosslyn Bay,Queensland,TRUE,IDO71052SLD,-23.161,150.7901,http://www.bom.gov.au/ntc/IDO50000/IDO50000_59670.pdf,http://www.bom.gov.au/ntc/IDO71052/IDO71052SLD.txt
Port Kembla,New South Wales,TRUE,IDO71053SLD,-34.4734,150.9118,http://www.bom.gov.au/ntc/IDO50000/IDO50000_60420.pdf,http://www.bom.gov.au/ntc/IDO71053/IDO71053SLD.txt
Burnie,Tasmania,TRUE,IDO71055SLD,-41.05,145.9149,http://www.bom.gov.au/ntc/IDO50000/IDO50000_60910.pdf,http://www.bom.gov.au/ntc/IDO71055/IDO71055SLD.txt
Spring Bay,Tasmania,TRUE,IDO71057SLD,-42.5464,147.9308,http://www.bom.gov.au/ntc/IDO50000/IDO50000_61170.pdf,http://www.bom.gov.au/ntc/IDO71057/IDO71057SLD.txt
Portland,Victoria,TRUE,IDO71058SLD,-38.3439,141.6136,http://www.bom.gov.au/ntc/IDO50000/IDO50000_61410.pdf,http://www.bom.gov.au/ntc/IDO71058/IDO71058SLD.txt
Port Stanvac,South Australia,TRUE,IDO71059SLD,-35.1085,138.4671,http://www.bom.gov.au/ntc/IDO50000/IDO50000_61583.pdf,http://www.bom.gov.au/ntc/IDO71059/IDO71059SLD.txt
Thevenard,South Australia,TRUE,IDO71060SLD,-32.149,133.6416,http://www.bom.gov.au/ntc/IDO50000/IDO50000_62000.pdf,http://www.bom.gov.au/ntc/IDO71060/IDO71060SLD.txt
Esperance,Western Australia,TRUE,IDO71061SLD,-33.8707,121.8971,http://www.bom.gov.au/ntc/IDO50000/IDO50000_62080.pdf,http://www.bom.gov.au/ntc/IDO71061/IDO71061SLD.txt
Hillarys,Western Australia,TRUE,IDO71062SLD,-31.8256,115.7386,http://www.bom.gov.au/ntc/IDO50000/IDO50000_62237.pdf,http://www.bom.gov.au/ntc/IDO71062/IDO71062SLD.txt
Broome,Western Australia,TRUE,IDO71063SLD,-18.0008,122.2183,http://www.bom.gov.au/ntc/IDO50000/IDO50000_62650.pdf,http://www.bom.gov.au/ntc/IDO71063/IDO71063SLD.txt
Darwin,Northern Territory,TRUE,IDO71064SLD,-12.4719,130.8458,http://www.bom.gov.au/ntc/IDO50000/IDO50000_63230.pdf,http://www.bom.gov.au/ntc/IDO71064/IDO71064SLD.txt
Milner Bay - Groote Eylandt,Northern Territory,TRUE,IDO71065SLD,-13.86,136.4158,http://www.bom.gov.au/ntc/IDO50000/IDO50000_63511.pdf,http://www.bom.gov.au/ntc/IDO71065/IDO71065SLD.txt
Cocos - Keeling Islands,(Home Island) Indian Ocean,TRUE,IDO71066SLD,-12.1168,96.8919,http://www.bom.gov.au/ntc/IDO50000/IDO50000_46280.pdf,http://www.bom.gov.au/ntc/IDO71066/IDO71066SLD.txt
Thursday Island,"Torres Strait, Queensland",TRUE,IDO71067SLD,-10.5863,142.2215,https://www.qld.gov.au/environment/coasts-waterways/beach/storm/storm-sites/thursday-island,http://www.bom.gov.au/ntc/IDO71067/IDO71067SLD.txt
Stony Point,Victoria,TRUE,IDO71054SLD,-38.3722,145.2247,http://www.bom.gov.au/ntc/IDO50000/IDO50000_60710.pdf,http://www.bom.gov.au/ntc/IDO71054/IDO71054SLD.txt
Lorne,Victoria,TRUE,IDO71056SLD,-38.5472,143.9889,http://www.bom.gov.au/ntc/IDO50000/IDO50000_60790.pdf,http://www.bom.gov.au/ntc/IDO71056/IDO71056SLD.txt
Botany Bay,New South Wales,FALSE,IDO70000_60390_SLD,-33.9679,151.2202389,http://www.bom.gov.au/ntc/IDO50000/IDO50000_60390.pdf,http://www.bom.gov.au/ntc/IDO70000/IDO70000_60390_SLD.txt
